sequence_id,scenario,scenario_name,run_id,seed,api_elapsed_seconds,api_elapsed_ms,submitted_tx,routed_tx,finality_certificates,receipts,reward_events,total_reward,quarantine_events,reconfiguration_events,evidence_events,active_validators,quarantined_validators,finality_success_rate,receipt_success_rate,model_logical_throughput,mean_finality_latency_logical,mean_receipt_latency_logical,cross_shard_ratio,shard1_load,shard2_load,shard_load_std,reward_gini,reward_hhi,owner_concentration,nakamoto_coefficient,malicious_committee_probability,real_submitted_tx_per_sec,real_finality_certs_per_sec,real_receipts_per_sec,real_rewards_per_sec
1,Q1,Normal Qtum mobile contract request,1,627,0.0097691,9.7691,212,212,211,207,621,3105,0,2,635,12,0,99.5283,97.6415,2.07,17.6185,23.0832,11.3208,98.6866,98.3676,0.1595,33.3527,28.4574,36.6184,1,0.0,21701.0734,21598.7099,21189.2557,63567.767
2,Q1,Normal Qtum mobile contract request,2,628,0.00816959,8.1696,223,223,219,215,645,3225,0,2,665,12,0,98.2063,96.4126,2.15,17.615,23.0968,9.417,101.2164,101.2446,0.0141,25.7116,24.2289,33.2093,2,0.0,27296.3615,26806.7407,26317.1198,78951.3595
3,Q1,Normal Qtum mobile contract request,3,629,0.00683366,6.8337,204,204,202,192,576,2880,0,0,610,12,0,99.0196,94.1176,1.92,17.8452,23.3598,14.2157,74.8547,74.5807,0.137,27.6389,22.0382,31.25,2,0.0,29852.2358,29559.5668,28096.2219,84288.6658
4,Q1,Normal Qtum mobile contract request,4,630,0.00774251,7.7425,236,236,233,226,678,3390,0,2,705,12,0,98.7288,95.7627,2.26,17.5904,23.1528,8.8983,97.0503,97.4868,0.2182,33.2743,23.7643,38.4956,1,0.0,30481.0832,30093.6118,29189.5119,87568.5356
5,Q1,Normal Qtum mobile contract request,5,631,0.00923568,9.2357,257,257,250,243,729,3645,0,2,764,12,0,97.2763,94.5525,2.43,17.5048,22.9579,10.8949,109.9198,109.6484,0.1357,28.6831,22.1643,32.5926,2,0.0,27826.8628,27068.9327,26311.0025,78933.0076
6,Q1,Normal Qtum mobile contract request,6,632,0.0081072,8.1072,248,248,245,236,708,3540,0,2,741,12,0,98.7903,95.1613,2.36,17.8148,23.2566,10.8871,109.4307,109.3063,0.0622,32.9492,28.2252,42.3729,1,0.0,30590.0777,30220.0364,29109.9126,87329.7378
7,Q1,Normal Qtum mobile contract request,7,633,0.00926882,9.2688,259,259,255,251,753,3765,0,2,773,12,0,98.4556,96.9112,2.51,17.81,23.2699,14.2857,112.1685,112.2622,0.0468,28.0611,22.0786,31.7928,2,0.0,27943.144,27511.5897,27080.0353,81240.1059
8,Q1,Normal Qtum mobile contract request,8,634,0.00861577,8.6158,222,222,216,209,627,3135,0,2,660,12,0,97.2973,94.1441,2.09,17.6162,23.1659,9.009,97.2248,97.0718,0.0765,32.1148,28.0033,40.2871,1,0.0,25766.7165,25070.3188,24257.8547,72773.5642
9,Q1,Normal Qtum mobile contract request,9,635,0.00801297,8.013,220,220,216,211,633,3165,0,2,656,12,0,98.1818,95.9091,2.11,17.4544,22.9821,8.6364,109.3289,109.7216,0.1964,26.1991,24.3778,34.1232,1,0.0,27455.4844,26956.2937,26332.3055,78996.9164
10,Q1,Normal Qtum mobile contract request,10,636,0.00809231,8.0923,232,232,225,221,663,3315,0,2,689,12,0,96.9828,95.2586,2.21,17.4583,22.8553,9.4828,90.8077,91.0409,0.1166,27.6169,22.0365,31.2217,2,0.0,28669.2075,27804.1883,27309.8916,81929.6749
11,Q1,Normal Qtum mobile contract request,11,637,0.01112213,11.1221,245,245,243,237,711,3555,0,2,733,12,0,99.1837,96.7347,2.37,17.5377,23.0396,10.6122,94.5719,94.7788,0.1034,28.5373,22.1414,32.4051,2,0.0,22028.1567,21848.335,21308.8699,63926.6097
12,Q1,Normal Qtum mobile contract request,12,638,0.00969519,9.6952,227,227,222,217,651,3255,0,2,676,12,0,97.7974,95.5947,2.17,17.6306,23.1233,11.4537,99.6848,99.2334,0.2257,32.2581,28.0166,39.3548,1,0.0,23413.6818,22897.9619,22382.2421,67146.7262
13,Q1,Normal Qtum mobile contract request,13,639,0.00730336,7.3034,181,181,178,177,531,2655,0,0,540,12,0,98.3425,97.7901,1.77,17.7236,23.244,11.6022,72.2321,69.9403,1.1459,32.3164,28.025,39.209,1,0.0,24783.1237,24372.3537,24235.4304,72706.2911
14,Q1,Normal Qtum mobile contract request,14,640,0.00721828,7.2183,202,202,201,198,594,2970,0,2,605,12,0,99.505,98.0198,1.98,17.7231,23.1793,10.396,93.5831,93.6967,0.0568,28.5253,25.5998,38.4848,1,0.0,27984.4983,27845.9611,27430.3498,82291.0493
15,Q1,Normal Qtum mobile contract request,15,641,0.00846228,8.4623,245,245,239,232,696,3480,0,2,729,12,0,97.551,94.6939,2.32,17.8412,23.2618,14.6939,100.0712,99.9901,0.0405,31.1638,34.0602,41.5517,1,0.0,28952.0253,28242.9961,27415.7954,82247.3862
16,Q1,Normal Qtum mobile contract request,16,642,0.00737781,7.3778,206,206,204,200,600,3000,0,2,616,12,0,99.0291,97.0874,2.0,17.9169,23.4932,16.0194,95.4643,95.7069,0.1213,33.6,28.64,36.0,1,0.0,27921.5762,27650.4929,27108.3264,81324.9791
17,Q1,Normal Qtum mobile contract request,17,643,0.00750728,7.5073,200,200,197,193,579,2895,0,2,597,12,0,98.5,96.5,1.93,17.9126,23.3923,14.0,93.6838,93.0835,0.3002,28.0622,25.2892,37.6166,1,0.0,26640.8144,26241.2022,25708.3859,77125.1577
18,Q1,Normal Qtum mobile contract request,18,644,0.00799009,7.9901,254,254,249,244,732,3660,0,2,757,12,0,98.0315,96.063,2.44,17.7159,23.1767,12.2047,88.1447,88.4924,0.1739,24.6557,24.0336,31.2295,2,0.0,31789.3632,31163.5883,30537.8134,91613.4403
19,Q1,Normal Qtum mobile contract request,19,645,0.00902251,9.0225,232,232,226,216,648,3240,0,2,690,12,0,97.4138,93.1034,2.16,17.9249,23.4739,15.9483,112.7683,113.1294,0.1805,24.8889,24.0617,31.6667,2,0.0,25713.4655,25048.4621,23940.1231,71820.3693
20,Q1,Normal Qtum mobile contract request,20,646,0.01011187,10.1119,209,209,207,204,612,3060,0,2,625,12,0,99.0431,97.6077,2.04,17.6778,23.205,12.4402,92.558,92.8273,0.1346,29.183,22.2559,33.2353,2,0.0,20668.7845,20470.9971,20174.316,60522.9479
21,Q1,Normal Qtum mobile contract request,21,647,0.00865163,8.6516,247,247,245,240,720,3600,0,2,739,12,0,99.1903,97.166,2.4,17.7358,23.1965,11.7409,106.7199,107.0053,0.1427,32.3056,23.2849,37.25,1,0.0,28549.5202,28318.35,27740.4245,83221.2736
22,Q1,Normal Qtum mobile contract request,22,648,0.00968799,9.688,194,194,193,192,576,2880,0,2,581,12,0,99.4845,98.9691,1.92,18.0524,23.4363,16.4948,87.2686,87.4473,0.0894,28.6111,22.1528,32.5,2,0.0,20024.7853,19921.5648,19818.3442,59455.0327
23,Q1,Normal Qtum mobile contract request,23,649,0.00942433,9.4243,248,248,244,237,711,3555,0,2,740,12,0,98.3871,95.5645,2.37,17.9457,23.4243,14.5161,109.5732,109.5819,0.0043,27.7496,22.0474,31.3924,2,0.0,26314.8764,25890.4429,25147.6843,75443.0529
24,Q1,Normal Qtum mobile contract request,24,650,0.00693522,6.9352,181,181,179,178,534,2670,0,2,541,12,0,98.895,98.3425,1.78,17.9353,23.4478,14.9171,86.6627,86.6638,0.0005,30.0749,22.4694,34.382,1,0.0,26098.6523,25810.2694,25666.078,76998.2339
25,Q1,Normal Qtum mobile contract request,25,651,0.00813953,8.1395,249,249,246,245,735,3675,0,2,744,12,0,98.7952,98.3936,2.45,17.8031,23.3425,12.4498,107.575,107.4919,0.0415,40.7143,42.0408,60.0,1,0.0,30591.4319,30222.8604,30100.0033,90300.0098
26,Q1,Normal Qtum mobile contract request,26,652,0.00728517,7.2852,218,218,215,212,636,3180,0,2,651,12,0,98.6239,97.2477,2.12,17.5424,23.0432,10.5505,82.1703,81.796,0.1872,28.8679,22.1958,32.8302,2,0.0,29923.8205,29512.0248,29100.2292,87300.6875
27,Q1,Normal Qtum mobile contract request,27,653,0.00760212,7.6021,203,203,200,197,591,2955,0,2,606,12,0,98.5222,97.0443,1.97,17.859,23.5561,13.3005,82.781,83.0398,0.1294,25.2183,24.116,32.2843,2,0.0,26703.0916,26308.4646,25913.8377,77741.513
